day,start time 3h interval (utc),location,height above ground in m,u-component wind in m/s,v-component wind in m/s,temperature in °C,global surface radiation in W/m2
1,00:00,1,2,5.00,-0.30,1.65,0
1,03:00,1,2,8.22,-1.20,1.45,2
1,06:00,1,2,5.36,-2.91,0.65,170
1,09:00,1,2,6.94,-3.17,1.55,350
1,12:00,1,2,6.58,-2.26,2.95,570
1,15:00,1,2,7.28,-1.95,2.85,368
1,18:00,1,2,2.70,0.12,-0.25,0
1,21:00,1,2,3.66,0.45,0.25,0
2,00:00,1,2,5.14,1.70,1.05,0
2,03:00,1,2,7.23,1.91,1.45,2
2,06:00,1,2,5.93,4.13,1.65,60
2,09:00,1,2,8.65,3.84,2.05,90
2,12:00,1,2,8.15,1.91,2.65,100
2,15:00,1,2,5.31,-2.82,2.75,77
2,18:00,1,2,2.61,-1.59,0.65,0
2,21:00,1,2,1.88,-1.16,-1.95,0
3,00:00,1,2,2.19,-1.37,-2.55,0
3,03:00,1,2,1.00,-0.27,-5.25,7
3,06:00,1,2,-0.39,0.34,-1.75,380
3,09:00,1,2,-0.29,1.75,4.05,558
3,12:00,1,2,1.01,0.84,9.45,600
3,15:00,1,2,2.20,0.35,8.55,363
3,18:00,1,2,0.99,-0.44,1.85,0
3,21:00,1,2,0.56,0.86,1.35,0
4,00:00,1,2,0.45,1.13,1.25,0
4,03:00,1,2,0.42,0.47,-0.05,5
4,06:00,1,2,0.73,-0.40,2.55,100
4,09:00,1,2,0.58,-0.75,3.55,136
4,12:00,1,2,-0.10,-1.86,3.25,140
4,15:00,1,2,-2.19,-2.94,2.25,100
4,18:00,1,2,-3.01,-2.90,0.45,0
4,21:00,1,2,-1.80,-3.40,0.15,0
5,00:00,1,2,-0.72,-3.13,-2.33,0
5,03:00,1,2,-1.18,-2.76,-3.75,7
5,06:00,1,2,-1.43,-2.32,-2.95,390
5,09:00,1,2,-4.15,-2.84,1.15,570
5,12:00,1,2,-3.82,-3.73,3.05,670
5,15:00,1,2,-3.69,-3.71,3.25,442
5,18:00,1,2,-1.47,-1.50,-2.58,0
5,21:00,1,2,-1.49,-2.12,-3.59,0
6,00:00,1,2,-2.42,-1.84,-3.36,0
6,03:00,1,2,-1.21,-1.44,-4.65,9
6,06:00,1,2,-0.35,-0.89,-1.15,390
6,09:00,1,2,-0.65,-2.02,4.35,465
6,12:00,1,2,0.28,-2.91,5.15,500
6,15:00,1,2,-0.29,-4.41,5.25,352
6,18:00,1,2,-1.14,-1.82,-1.55,0
6,21:00,1,2,-1.32,-1.70,-3.15,0
7,00:00,1,2,-3.20,-2.03,-2.25,0
7,03:00,1,2,-1.94,-0.48,-4.35,9
7,06:00,1,2,-1.43,-0.41,-2.05,410
7,09:00,1,2,-3.27,-0.34,3.95,587
7,12:00,1,2,-2.47,-1.38,7.25,680
7,15:00,1,2,-2.36,-1.12,7.95,452
7,18:00,1,2,-1.60,-0.28,-1.65,0
7,21:00,1,2,-0.52,0.10,-4.75,0
8,00:00,1,2,-0.91,0.57,-4.45,0
8,03:00,1,2,-0.47,-0.09,-4.95,10
