day,start time quarter hour,wind generation in MW
1,00:00,146.15
1,00:15,126.28
1,00:30,121.11
1,00:45,121.32
1,01:00,123.91
1,01:15,124.80
1,01:30,133.87
1,01:45,127.38
1,02:00,127.33
1,02:15,138.71
1,02:30,126.49
1,02:45,107.46
1,03:00,123.54
1,03:15,123.28
1,03:30,120.59
1,03:45,122.54
1,04:00,131.44
1,04:15,133.24
1,04:30,130.18
1,04:45,124.43
1,05:00,127.97
1,05:15,111.04
1,05:30,118.00
1,05:45,114.36
1,06:00,117.26
1,06:15,123.32
1,06:30,144.36
1,06:45,141.99
1,07:00,144.68
1,07:15,149.15
1,07:30,146.57
1,07:45,148.68
1,08:00,143.46
1,08:15,128.33
1,08:30,131.70
1,08:45,113.99
1,09:00,129.81
1,09:15,152.11
1,09:30,151.95
1,09:45,149.00
1,10:00,152.00
1,10:15,145.31
1,10:30,157.16
1,10:45,153.58
1,11:00,146.20
1,11:15,142.73
1,11:30,142.40
1,11:45,145.31
1,12:00,151.37
1,12:15,144.94
1,12:30,148.42
1,12:45,170.56
1,13:00,157.64
1,13:15,156.12
1,13:30,166.50
1,13:45,144.31
1,14:00,171.56
1,14:15,201.87
1,14:30,183.10
1,14:45,160.81
1,15:00,182.58
1,15:15,161.33
1,15:30,178.89
1,15:45,165.39
1,16:00,163.13
1,16:15,166.34
1,16:30,171.29
1,16:45,165.60
1,17:00,130.66
1,17:15,114.36
1,17:30,127.75
1,17:45,130.60
1,18:00,136.98
1,18:15,134.24
1,18:30,129.07
1,18:45,153.53
1,19:00,161.70
1,19:15,139.08
1,19:30,149.74
1,19:45,145.36
1,20:00,129.44
1,20:15,127.64
1,20:30,143.09
1,20:45,150.11
1,21:00,150.21
1,21:15,141.67
1,21:30,129.81
1,21:45,149.52
1,22:00,158.27
1,22:15,144.57
1,22:30,145.42
1,22:45,156.16
1,23:00,152.80
1,23:15,154.16
1,23:30,162.44
1,23:45,156.01
2,00:00,163.18
2,00:15,145.31
2,00:30,147.89
2,00:45,164.91
2,01:00,152.32
2,01:15,131.29
2,01:30,141.36
2,01:45,138.30
2,02:00,137.56
2,02:15,150.26
2,02:30,163.91
2,02:45,160.07
2,03:00,154.32
2,03:15,146.57
2,03:30,141.62
2,03:45,143.99
2,04:00,132.50
2,04:15,146.46
2,04:30,141.30
2,04:45,135.76
2,05:00,136.61
2,05:15,145.83
2,05:30,128.75
2,05:45,126.49
2,06:00,128.86
2,06:15,144.73
2,06:30,142.04
2,06:45,167.60
2,07:00,164.87
2,07:15,167.23
2,07:30,169.71
2,07:45,169.03
2,08:00,173.77
2,08:15,149.89
2,08:30,173.14
2,08:45,178.15
2,09:00,173.77
2,09:15,166.71
2,09:30,178.52
2,09:45,182.73
2,10:00,186.79
2,10:15,180.73
2,10:30,185.90
2,10:45,192.28
2,11:00,179.26
2,11:15,184.21
2,11:30,193.80
2,11:45,172.40
2,12:00,205.98
2,12:15,193.65
2,12:30,185.53
2,12:45,150.15
2,13:00,148.78
2,13:15,152.11
2,13:30,170.45
2,13:45,161.22
2,14:00,172.25
2,14:15,177.20
2,14:30,177.57
2,14:45,185.58
2,15:00,152.84
2,15:15,184.05
2,15:30,165.65
2,15:45,147.89
2,16:00,139.40
2,16:15,133.50
2,16:30,145.46
2,16:45,130.60
2,17:00,139.19
2,17:15,129.23
2,17:30,102.87
2,17:45,122.80
2,18:00,98.55
2,18:15,96.39
2,18:30,84.16
2,18:45,80.73
2,19:00,80.52
2,19:15,75.57
2,19:30,68.66
2,19:45,64.87
2,20:00,59.01
2,20:15,46.94
2,20:30,45.68
2,20:45,46.79
2,21:00,48.26
2,21:15,40.56
2,21:30,43.99
2,21:45,40.99
2,22:00,43.62
2,22:15,34.72
2,22:30,42.51
2,22:45,33.13
2,23:00,35.50
2,23:15,41.41
2,23:30,32.55
2,23:45,35.76
3,00:00,34.98
3,00:15,27.97
3,00:30,29.92
3,00:45,29.07
3,01:00,29.97
3,01:15,21.32
3,01:30,24.32
3,01:45,25.01
3,02:00,23.91
3,02:15,22.59
3,02:30,20.74
3,02:45,22.96
3,03:00,20.74
3,03:15,20.74
3,03:30,15.90
3,03:45,18.37
3,04:00,20.22
3,04:15,17.79
3,04:30,16.27
3,04:45,13.21
3,05:00,13.36
3,05:15,9.52
3,05:30,8.41
3,05:45,4.35
3,06:00,6.35
3,06:15,2.61
3,06:30,5.61
3,06:45,1.87
3,07:00,4.14
3,07:15,3.40
3,07:30,1.40
3,07:45,0.40
3,08:00,1.40
3,08:15,1.14
3,08:30,2.51
3,08:45,3.24
3,09:00,3.61
3,09:15,3.35
3,09:30,6.72
3,09:45,4.72
3,10:00,5.61
3,10:15,2.61
3,10:30,2.87
3,10:45,4.87
3,11:00,4.87
3,11:15,5.51
3,11:30,3.77
3,11:45,1.40
3,12:00,4.77
3,12:15,1.14
3,12:30,4.77
3,12:45,1.51
3,13:00,5.87
3,13:15,5.61
3,13:30,6.24
3,13:45,5.61
3,14:00,5.83
3,14:15,7.09
3,14:30,3.98
3,14:45,4.09
3,15:00,3.72
3,15:15,6.35
3,15:30,3.98
3,15:45,5.61
3,16:00,3.35
3,16:15,5.61
3,16:30,5.98
3,16:45,2.87
3,17:00,6.24
3,17:15,4.14
3,17:30,4.51
3,17:45,4.14
3,18:00,1.87
3,18:15,3.98
3,18:30,6.35
3,18:45,5.09
3,19:00,6.30
3,19:15,8.93
3,19:30,3.98
3,19:45,7.35
3,20:00,2.61
3,20:15,5.24
3,20:30,5.46
3,20:45,4.83
3,21:00,9.20
3,21:15,8.93
3,21:30,7.83
3,21:45,5.56
3,22:00,6.20
3,22:15,2.98
3,22:30,4.46
3,22:45,8.93
3,23:00,6.93
3,23:15,8.56
3,23:30,10.67
3,23:45,6.56
4,00:00,4.46
4,00:15,5.20
4,00:30,3.35
4,00:45,2.61
4,01:00,3.24
4,01:15,3.24
4,01:30,5.51
4,01:45,2.51
4,02:00,5.51
4,02:15,3.24
4,02:30,2.24
4,02:45,5.98
4,03:00,2.61
4,03:15,3.61
4,03:30,5.14
4,03:45,4.87
4,04:00,2.24
4,04:15,6.35
4,04:30,4.87
4,04:45,2.61
4,05:00,5.98
4,05:15,2.24
4,05:30,6.98
4,05:45,7.09
4,06:00,4.09
4,06:15,4.09
4,06:30,4.35
4,06:45,5.09
4,07:00,5.20
4,07:15,8.09
4,07:30,4.46
4,07:45,5.83
4,08:00,9.20
4,08:15,8.56
4,08:30,5.56
4,08:45,8.46
4,09:00,8.83
4,09:15,6.20
4,09:30,8.83
4,09:45,7.83
4,10:00,5.83
4,10:15,5.46
4,10:30,8.83
4,10:45,6.20
4,11:00,8.83
4,11:15,8.83
4,11:30,7.41
4,11:45,6.30
4,12:00,5.93
4,12:15,7.78
4,12:30,13.99
4,12:45,12.89
4,13:00,11.41
4,13:15,10.04
4,13:30,14.84
4,13:45,17.05
4,14:00,10.62
4,14:15,13.21
4,14:30,13.21
4,14:45,13.31
4,15:00,14.68
4,15:15,15.90
4,15:30,17.42
4,15:45,17.31
4,16:00,17.63
4,16:15,25.01
4,16:30,23.96
4,16:45,23.91
4,17:00,16.53
4,17:15,15.16
4,17:30,12.10
4,17:45,8.89
4,18:00,13.36
4,18:15,19.63
4,18:30,21.06
4,18:45,31.07
4,19:00,26.86
4,19:15,33.29
4,19:30,40.19
4,19:45,32.87
4,20:00,36.61
4,20:15,40.14
4,20:30,49.05
4,20:45,48.63
4,21:00,42.36
4,21:15,51.26
4,21:30,50.84
4,21:45,34.61
4,22:00,47.89
4,22:15,39.14
4,22:30,38.30
4,22:45,53.58
4,23:00,46.05
4,23:15,55.06
4,23:30,46.79
4,23:45,51.26
5,00:00,32.13
5,00:15,32.13
5,00:30,36.93
5,00:45,34.98
5,01:00,40.14
5,01:15,39.77
5,01:30,37.72
5,01:45,48.42
5,02:00,36.61
5,02:15,33.61
5,02:30,39.41
5,02:45,37.72
5,03:00,33.87
5,03:15,38.82
5,03:30,33.66
5,03:45,34.03
5,04:00,36.61
5,04:15,29.23
5,04:30,26.49
5,04:45,24.38
5,05:00,30.34
5,05:15,32.76
5,05:30,34.24
5,05:45,36.13
5,06:00,32.18
5,06:15,29.60
5,06:30,29.23
5,06:45,24.43
5,07:00,22.59
5,07:15,19.85
5,07:30,25.38
5,07:45,26.12
5,08:00,27.28
5,08:15,28.75
5,08:30,33.92
5,08:45,23.28
5,09:00,36.98
5,09:15,37.72
5,09:30,51.37
5,09:45,59.33
5,10:00,65.39
5,10:15,46.89
5,10:30,48.63
5,10:45,46.20
5,11:00,47.52
5,11:15,40.56
5,11:30,44.20
5,11:45,42.04
5,12:00,37.35
5,12:15,48.79
5,12:30,46.05
5,12:45,34.61
5,13:00,39.51
5,13:15,36.61
5,13:30,36.45
5,13:45,41.04
5,14:00,41.77
5,14:15,40.19
5,14:30,43.51
5,14:45,36.24
5,15:00,37.30
5,15:15,29.81
5,15:30,28.44
5,15:45,23.17
5,16:00,19.27
5,16:15,25.17
5,16:30,26.91
5,16:45,19.11
5,17:00,19.59
5,17:15,17.31
5,17:30,14.05
5,17:45,13.94
5,18:00,18.16
5,18:15,17.27
5,18:30,16.68
5,18:45,18.16
5,19:00,18.74
5,19:15,21.32
5,19:30,23.96
5,19:45,22.22
5,20:00,19.22
5,20:15,21.69
5,20:30,21.85
5,20:45,21.11
5,21:00,15.42
5,21:15,15.42
5,21:30,17.27
5,21:45,17.42
5,22:00,12.10
5,22:15,15.21
5,22:30,8.15
5,22:45,8.41
5,23:00,7.04
5,23:15,11.52
5,23:30,9.67
5,23:45,8.78
6,00:00,12.15
6,00:15,12.89
6,00:30,7.04
6,00:45,10.67
6,01:00,10.41
6,01:15,9.67
6,01:30,8.93
6,01:45,6.56
6,02:00,4.72
6,02:15,5.98
6,02:30,4.35
6,02:45,3.61
6,03:00,3.61
6,03:15,6.24
6,03:30,5.61
6,03:45,5.87
6,04:00,3.24
6,04:15,4.87
6,04:30,3.24
6,04:45,5.61
6,05:00,3.24
6,05:15,4.87
6,05:30,3.61
6,05:45,3.98
6,06:00,6.35
6,06:15,5.83
6,06:30,9.20
6,06:45,9.67
6,07:00,10.41
6,07:15,12.52
6,07:30,13.62
6,07:45,10.78
6,08:00,6.30
6,08:15,9.56
6,08:30,9.67
6,08:45,9.67
6,09:00,7.67
6,09:15,9.67
6,09:30,10.25
6,09:45,9.89
6,10:00,14.47
6,10:15,19.27
6,10:30,27.38
6,10:45,22.43
6,11:00,19.96
6,11:15,28.49
6,11:30,25.75
6,11:45,22.11
6,12:00,20.22
6,12:15,28.86
6,12:30,29.60
6,12:45,21.48
6,13:00,21.11
6,13:15,21.48
6,13:30,23.69
